,A,B,C,D
0,0.9558294562316318,0.7786656881974968,0.7263192624403466,0.4621725019389008
1,0.8114025007873623,0.1738605789890345,0.8285815603892163,0.6063428050709351
2,0.7109455860149105,0.6594569833833913,0.49388734068212004,0.02443232034225029
3,0.563263296656246,0.46940831744120126,0.8173723766954316,0.021285077774559347
4,0.5556142352327385,0.4536002285458327,0.1713324569432496,0.2694350180763584
5,0.736357010333204,0.5529014713902735,0.5167934938720493,0.9420429154685906
6,0.9665368623872524,0.6991239247638337,0.7381865571369945,0.8527376711686043
7,0.7340413912075191,0.7290132360984601,0.05083955068574231,0.1433964621949001
8,0.8807405767672702,0.9366124005417245,0.26755127861642414,0.024175870796303567
9,0.9226403235606188,0.45978796870808913,0.26002725384875713,0.8289681548132352
10,0.18171675251052,0.9844339673266553,0.6377112588038156,0.3409931876456378
11,0.1901382078003443,0.46978020204697046,0.3682545980212981,0.6567056962004812
12,0.16903396070883803,0.31216837040446255,0.7315409586669371,0.26540176059069354
13,0.12150314118070948,0.6297814825035685,0.774766740947291,0.7461463859530068
14,0.7262559070329522,0.9731572801052403,0.48527489470988083,0.05830171739838641
15,0.9352164023232703,0.17852111720679364,0.46984240107484376,0.7029859981819659
16,0.22721099230885,0.8121977040572668,0.09627523971986329,0.5853834593349361
17,0.10811593223447646,0.8229696621579865,0.12911588117976158,0.5805300866921558
18,0.20917803618498132,0.7627381624614649,0.3706788486254958,0.40911344089721025
19,0.802299222240509,0.7428083133848008,0.6533037256701597,0.37452187878496723
20,0.18422267715388274,0.3424162595139464,0.8009265307447948,0.9989845844412744
21,0.7093981440406736,0.21224955334526163,0.6051147152259962,0.3836071782645465
22,0.9201256041622327,0.8800061596453285,0.4219127950826276,0.10021524685400296
23,0.7234114528226729,0.9946475869919311,0.7414542935740818,0.4322545020478963
24,0.3154700382590663,0.021357349974918005,0.054181568198856,0.3603350896802491
25,0.45654863383810107,0.9046353068578131,0.9505853798454732,0.47001995746439773
26,0.2674460723250973,0.21655946954854421,0.19029560220299346,0.5817833153061853
27,0.44787751442817325,0.6817498137390109,0.9191515660798351,0.0925706171227848
28,0.17525687172044413,0.7288398976993392,0.05702053911365501,0.421707538981992
29,0.561431057982225,0.7912508724844284,0.40316211859636175,0.7077717750784028
30,0.19366912077553744,0.48584994081288635,0.3554402098731829,0.6559949060771401
31,0.41959637283773177,0.7095680204039316,0.13578613565261688,0.3031514655617029
32,0.9171954106476289,0.6406480102051155,0.38925079808899754,0.235898950245383
33,0.8826347613083757,0.838321761427662,0.5518241206506679,0.8499896908379683
34,0.6796188423981127,0.3087954540826997,0.9148065640816309,0.8801104585816892
35,0.4262650506839747,0.5525920295297304,0.6790277231133706,0.699737842274792
36,0.013638303628486281,0.507102583169942,0.8724436443383009,0.6184101799677526
37,0.24710043576663254,0.41691692316382156,0.18645426883533966,0.5041766708755469
38,0.13988477984126269,0.3997517190553972,0.14798897952163337,0.5732392365099175
39,0.290119987089008,0.6542957924864286,0.1234030958880804,0.9071273317681957
40,0.3798414707520862,0.26001264618635334,0.23079278862701513,0.33238777399558095
41,0.9377701043274049,0.9814757729955869,0.05342711080491369,0.4007803994802682
42,0.9954597702301273,0.06889850918920803,0.5517340309568295,0.27421219563575616
43,0.6375349026596167,0.1731269119500637,0.8891728962761077,0.1793250189455713
44,0.2909176905332581,0.8442441739515009,0.7348327781191972,0.8635686115848255
45,0.2262375342143943,0.09259807549805554,0.8698590809144339,0.20605287787215987
46,0.9995456237702582,0.508378702296235,0.32243927916239024,0.5024892904641294
47,0.1975884944404982,0.7223174613061998,0.04617924190749079,0.8701812797769162
48,0.011962828974224848,0.3078004697778661,0.7188898792279036,0.09464152213299126
49,0.48185872447178646,0.8656898712361989,0.05252384969809387,0.6243407261642608
50,0.4114582191224543,0.5589949926460797,0.6685143001770102,0.811400509029992
51,0.3101192744923824,0.6153409685870622,0.2536605173638442,0.445789770006375
52,0.705530209028366,0.5030091009059212,0.3917471479251492,0.6231705699717439
53,0.1569386917240735,0.8479167061546703,0.3135078230495767,0.2605072759407735
54,0.19380822068072978,0.2281543092018481,0.6852512065693297,0.5809138781818697
55,0.11727917939696941,0.8774128704668104,0.8452494716362657,0.5303925290595524
56,0.007272543203332149,0.36545757238358134,0.2350900348322087,0.9454330806415675
57,0.9121954095200782,0.34097455379208697,0.7009873873999524,0.13287996719309225
58,0.7241155991894024,0.19510606137074715,0.7816740575373023,0.2203919405145227
59,0.1285243078599445,0.16970674853388623,0.1461112719208182,0.18441077570411546
60,0.42179649687438747,0.4652077297025131,0.5265001544167752,0.13332641417565172
61,0.5687104166529802,0.3358837892824724,0.5508415956858062,0.46614503164574694
62,0.9444808348646776,0.5717479325334722,0.43152026354960493,0.7364383371588917
63,0.8748478484379127,0.04801023643274538,0.13730354274193923,0.9079601427482712
64,0.4959706256254053,0.8491577039139618,0.35333090360916286,0.5773613793651258
65,0.5674723365503916,0.09825288312839187,0.378206997797648,0.6970998040529408
66,0.04938297083109211,0.934271045677689,0.9975499336179718,0.8361361767519676
67,0.5178465160038906,0.7910887389187542,0.4860836389932687,0.43497108014679564
68,0.09041971855750686,0.8523815917978411,0.8515581545415244,0.8727904318354939
69,0.8934800169429246,0.4742164812364378,0.1548711352097052,0.8939943688939829
70,0.5307291201582859,0.2982368419053427,0.9250427230958795,0.22381710317314518
71,0.8686430910215107,0.2824685297486834,0.023848634420839065,0.8237524410639254
72,0.7848107591553151,0.3046106788398706,0.6624600703169001,0.8052360138877623
73,0.35129535723463534,0.6355886612482478,0.17844118643095552,0.38195347592972806
74,0.5638913787551788,0.3465817732357138,0.7487049406350803,0.3491927820557973
75,0.26920164869967567,0.8242768827067284,0.11444950684095812,0.9048667158000155
76,0.0170112479905149,0.21856102602410854,0.9430574753958092,0.04013942180925223
77,0.9928318798397282,0.6040925223226176,0.4777811569770538,0.7955571886789744
78,0.8080692972582125,0.3905363170210333,0.25578738634658105,0.33867628384996484
79,0.697555394316417,0.5675073307498445,0.38159070068223866,0.46418668437148813
80,0.570989174909014,0.5009949896185668,0.980804564893576,0.377546349699058
81,0.45521501323802216,0.5554063402902556,0.8513742539641881,0.41384084587519854
82,0.31282379041131547,0.27059655062329935,0.13393195596975727,0.6837354543056249
83,0.2522909248313817,0.5490928188026952,0.8393952632852348,0.47976686478664665
84,0.048735564486881544,0.13594467213021577,0.8078257286807548,0.35960553591835087
85,0.2211154566669472,0.5773154925058805,0.9851566824397915,0.005848050525900428
86,0.3777667009799994,0.8530124333784034,0.47695023378872825,0.5809373191248436
87,0.022815695716214224,0.876341162729102,0.03529154657769906,0.510116819849589
88,0.522642738815243,0.5810458670808744,0.9949916894403162,0.02999990738704983
89,0.8449224692599633,0.4251025113802118,0.09065974522002385,0.6253983248810245
90,0.36385573190412546,0.12381329045092548,0.8229545460109247,0.97462198116751
91,0.32192591146236493,0.5244416373949755,0.473468869216075,0.7812764655569899
92,0.3568230102538642,0.4653278351083946,0.2621159976187305,0.08951472490585799
93,0.041255718120547624,0.6934588035293713,0.29392299472073613,0.17803364638196706
94,0.14761425841807385,0.7665650823144456,0.2986353780213864,0.05967893695552706
95,0.9203679623739718,0.32593457013227034,0.7616383980490408,0.3026933133535131
96,0.2946667416633979,0.6219820770302091,0.14221657631267903,0.5152650159798454
97,0.0137283271564278,0.7087530675053115,0.8653709201150712,0.5806873521524659
98,0.2921789790646079,0.4828259562385998,0.13957950004724784,0.24422663071388684
99,0.48535220260201395,0.42436170910885573,0.8285635017120678,0.061548426971904324
100,0.5424930535406117,0.18781930161451044,0.6023739913079872,0.21280447184372375
101,0.08131904730545103,0.82820843400391,0.13955148986475774,0.8239474716384368
102,0.5822885607360616,0.2752357113376418,0.7944688974928337,0.4349029914669731
103,0.5208094379838867,0.08144366866250874,0.7760135809163055,0.14602290456308675
104,0.9710677040928821,0.33964124068036106,0.9212050386395055,0.3716537434774041
105,0.9046307837654435,0.7392539563160012,0.8572728170375833,0.6216606312419873
106,0.3804201598721637,0.07713047979221022,0.4738675708347193,0.26535216343251566
107,0.18872236784395058,0.7528161177903229,0.535971424630862,0.8724748295504187
108,0.9625184161253288,0.013058019470572058,0.48669780192961554,0.10444540227200017
109,0.2701854483881615,0.7643480528413309,0.5345229592054677,0.518071487163784
110,0.3899218218401811,0.9098454369955248,0.3026862966798801,0.9972561989247085
111,0.9855098616058792,0.11087219010542082,0.6468888875431439,0.06219522977508296
112,0.9546844746713888,0.5333661143487429,0.5932355702658177,0.2354896130877171
113,0.6632697786504187,0.27956188219552625,0.5290278228488879,0.3829824799607001
114,0.5327338927262598,0.5741774729494957,0.8233703685619675,0.5463893429167125
